<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
KRME.XXBTZUSD;D;20220515;000000;30051.7000000;31390.0000000;29452.6000000;31296.9000000;1580
KRME.XXBTZUSD;D;20220516;000000;31294.5000000;31294.5000000;29060.0000000;29826.1000000;3703
KRME.XXBTZUSD;D;20220517;000000;29826.1000000;30742.0000000;29403.0000000;30408.3000000;2811
KRME.XXBTZUSD;D;20220518;000000;30408.4000000;30653.1000000;28589.1000000;28664.3000000;4178
KRME.XXBTZUSD;D;20220519;000000;28657.6000000;30503.7000000;28649.2000000;30280.7000000;3723
KRME.XXBTZUSD;D;20220520;000000;30283.7000000;30721.2000000;28700.1000000;29167.5000000;3718
KRME.XXBTZUSD;D;20220521;000000;29161.6000000;29606.3000000;28927.3000000;29403.5000000;1030
KRME.XXBTZUSD;D;20220522;000000;29394.4000000;30500.0000000;29225.7000000;30268.0000000;1862
KRME.XXBTZUSD;D;20220523;000000;30264.4000000;30630.7000000;28829.5000000;29070.0000000;3027
KRME.XXBTZUSD;D;20220524;000000;29070.0000000;29819.7000000;28635.3000000;29631.8000000;2806
KRME.XXBTZUSD;D;20220525;000000;29628.0000000;30188.9000000;29309.0000000;29520.3000000;2831
KRME.XXBTZUSD;D;20220526;000000;29519.4000000;29854.0000000;27505.0000000;29186.9000000;4963
KRME.XXBTZUSD;D;20220527;000000;29165.9000000;29386.5000000;28250.0000000;28580.0000000;4411
KRME.XXBTZUSD;D;20220528;000000;28580.0000000;29229.0000000;28500.1000000;29020.0000000;1175
KRME.XXBTZUSD;D;20220529;000000;29020.1000000;29555.0000000;28820.0000000;29450.4000000;1292
KRME.XXBTZUSD;D;20220530;000000;29450.5000000;32186.4000000;29281.8000000;31711.7000000;5654
KRME.XXBTZUSD;D;20220531;000000;31710.4000000;32400.0000000;31183.7000000;31780.9000000;3471
KRME.XXBTZUSD;D;20220601;000000;31781.0000000;31929.0000000;29328.6000000;29790.0000000;5171
KRME.XXBTZUSD;D;20220602;000000;29790.0000000;31449.2000000;29572.8000000;30427.0000000;2470
KRME.XXBTZUSD;D;20220603;000000;30431.3000000;30658.9000000;29255.0000000;29676.4000000;2473
KRME.XXBTZUSD;D;20220604;000000;29676.4000000;29954.5000000;29450.1000000;29850.0000000;783
KRME.XXBTZUSD;D;20220605;000000;29850.8000000;30162.4000000;29514.0000000;29907.6000000;964
KRME.XXBTZUSD;D;20220606;000000;29907.6000000;31725.6000000;29881.9000000;31356.3000000;3447
KRME.XXBTZUSD;D;20220607;000000;31353.1000000;31550.0000000;29200.2000000;31098.6000000;5749
KRME.XXBTZUSD;D;20220608;000000;31097.2000000;31296.5000000;29848.0000000;30190.8000000;2830
KRME.XXBTZUSD;D;20220609;000000;30190.8000000;30666.0000000;29892.2000000;30075.3000000;1940
KRME.XXBTZUSD;D;20220610;000000;30085.3000000;30327.6000000;28845.2000000;29054.9000000;4353
KRME.XXBTZUSD;D;20220611;000000;29056.2000000;29411.7000000;28095.9000000;28380.2000000;2318
KRME.XXBTZUSD;D;20220612;000000;28395.9000000;28500.8000000;26506.5000000;26569.6000000;3667
KRME.XXBTZUSD;D;20220613;000000;26542.2000000;26853.2000000;21930.4000000;22460.1000000;17333
KRME.XXBTZUSD;D;20220614;000000;22460.0000000;23309.0000000;20824.0000000;22111.0000000;10473
KRME.XXBTZUSD;D;20220615;000000;22115.0000000;22773.3000000;20089.0000000;22559.6000000;14784
KRME.XXBTZUSD;D;20220616;000000;22557.0000000;22950.0000000;20200.0000000;20366.3000000;7892
KRME.XXBTZUSD;D;20220617;000000;20366.3000000;21327.2000000;20231.3000000;20432.9000000;6404
KRME.XXBTZUSD;D;20220618;000000;20440.3000000;20740.1000000;17600.0000000;18950.0000000;13006
KRME.XXBTZUSD;D;20220619;000000;18950.0000000;20799.9000000;17911.0000000;20555.5000000;9586
KRME.XXBTZUSD;D;20220620;000000;20550.1000000;21038.3000000;19625.0000000;20550.0000000;7167
KRME.XXBTZUSD;D;20220621;000000;20551.2000000;21698.9000000;20323.6000000;20701.9000000;5232
KRME.XXBTZUSD;D;20220622;000000;20704.1000000;20860.1000000;19750.0000000;19951.3000000;6092
KRME.XXBTZUSD;D;20220623;000000;19951.3000000;21200.0000000;19880.4000000;21086.7000000;3813
KRME.XXBTZUSD;D;20220624;000000;21090.8000000;21534.5000000;20731.1000000;21210.7000000;4923
KRME.XXBTZUSD;D;20220625;000000;21221.6000000;21589.0000000;20888.8000000;21474.5000000;1836
KRME.XXBTZUSD;D;20220626;000000;21476.8000000;21867.0000000;20957.0000000;21023.3000000;1913
KRME.XXBTZUSD;D;20220627;000000;21023.4000000;21528.7000000;20505.5000000;20716.3000000;3974
KRME.XXBTZUSD;D;20220628;000000;20716.3000000;21188.5000000;20165.3000000;20251.6000000;3251
KRME.XXBTZUSD;D;20220629;000000;20252.5000000;20397.0000000;19828.7000000;20086.2000000;4367
KRME.XXBTZUSD;D;20220630;000000;20094.0000000;20139.8000000;18617.5000000;19949.9000000;5392
KRME.XXBTZUSD;D;20220701;000000;19949.8000000;20878.3000000;18950.0000000;19245.3000000;5954
KRME.XXBTZUSD;D;20220702;000000;19250.8000000;19430.4000000;18969.6000000;19226.9000000;1293
KRME.XXBTZUSD;D;20220703;000000;19226.9000000;19684.3000000;18738.6000000;19293.5000000;2227
